Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Riverside National Bank of Florida,Fort Pierce,Florida,24067,"TD Bank, N.A.",2010-04-16,10216
Tamalpais Bank,San Rafael,California,33493,"Union Bank, N.A.",2010-04-16,10217
Lakeside Community Bank,Sterling Heights,Michigan,34878,No Acquirer,2010-04-16,10215
AmericanFirst Bank,Clermont,Florida,57724,"TD Bank, N.A.",2010-04-16,10210
First Federal Bank of North Florida,Palatka,Florida,28886,"TD Bank, N.A.",2010-04-16,10213
City Bank,Lynnwood,Washington,21521,Whidbey Island Bank,2010-04-16,10212
Butler Bank,Lowell,Massachusetts,26619,People's United Bank,2010-04-16,10211
Innovative Bank,Oakland,California,23876,Center Bank,2010-04-16,10214
"Amcore Bank, National Association",Rockford,Illinois,3735,Harris N.A.,2010-04-23,10218
Broadway Bank,Chicago,Illinois,22853,"MB Financial Bank, N.A.",2010-04-23,10219
Citizens Bank and Trust Company of Chicago,Chicago,Illinois,34658,Republic Bank of Chicago,2010-04-23,10220
Lincoln Park Savings Bank,Chicago,Illinois,30600,Northbrook Bank & Trust Company,2010-04-23,10221
New Century Bank,Chicago,Illinois,34821,"MB Financial Bank, N.A.",2010-04-23,10222
Peotone Bank and Trust Company,Peotone,Illinois,10888,First Midwest Bank,2010-04-23,10223
Wheatland Bank,Naperville,Illinois,58429,Wheaton Bank & Trust,2010-04-23,10224
Westernbank Puerto Rico,Mayaguez,Puerto Rico,31027,Banco Popular de Puerto Rico,2010-04-30,10231
R-G Premier Bank of Puerto Rico,Hato Rey,Puerto Rico,32185,Scotiabank de Puerto Rico,2010-04-30,10230
Eurobank,San Juan,Puerto Rico,27150,Oriental Bank and Trust,2010-04-30,10229
Champion Bank,Creve Coeur,Missouri,58362,BankLiberty,2010-04-30,10227
CF Bancorp,Port Huron,Michigan,30005,First Michigan Bank,2010-04-30,10226
BC National Banks,Butler,Missouri,17792,Community First Bank,2010-04-30,10225
Frontier Bank,Everett,Washington,22710,"Union Bank, N.A.",2010-04-30,10228
1st Pacific Bank of California,San Diego,California,35517,City National Bank,2010-05-07,10232
Access Bank,Champlin,Minnesota,16476,PrinsBank,2010-05-07,10233
The Bank of Bonifay,Bonifay,Florida,14246,First Federal Bank of Florida,2010-05-07,10234
Towne Bank of Arizona,Mesa,Arizona,57697,Commerce Bank of Arizona,2010-05-07,10235
Southwest Community Bank,Springfield,Missouri,34255,Simmons First National Bank,2010-05-14,10239
Satilla Community Bank,Saint Marys,Georgia,35114,Ameris Bank,2010-05-14,10238
Midwest Bank and Trust Company,Elmwood Park,Illinois,18117,"FirstMerit Bank, N.A.",2010-05-14,10236
New Liberty Bank,Plymouth,Michigan,35586,Bank of Ann Arbor,2010-05-14,10237
Pinehurst Bank,Saint Paul,Minnesota,57735,Coulee Bank,2010-05-21,10240
Bank of Florida - Southeast,Fort Lauderdale,Florida,57360,EverBank,2010-05-28,10241
Bank of Florida - Southwest,Naples,Florida,35106,EverBank,2010-05-28,10242
